INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('75810', '50.00'),
('44829', '16.00'),
('94356', '17.00'),
('94861', '16.00'),
('85130', '36.00'),
('62631', '5.00'),
('36351', '40.00'),
('65724', '25.00'),
('45792', '38.00'),
('62747', '35.00'),
('88321', '48.00'),
('49408', '15.00'),
('61266', '48.00'),
('74406', '43.00'),
('81609', '14.00'),
('53941', '22.00'),
('42073', '30.00'),
('63863', '7.00'),
('23122', '37.00'),
('12925', '16.00'),
('92130', '50.00'),
('26334', '24.00'),
('29018', '12.00'),
('45261', '1.00'),
('95012', '3.00'),
('42319', '7.00'),
('67712', '38.00'),
('93954', '18.00'),
('91815', '17.00'),
('10819', '21.00'),
('20979', '18.00'),
('61381', '36.00'),
('28200', '39.00'),
('17583', '36.00'),
('10953', '49.00'),
('60602', '33.00'),
('32731', '49.00'),
('26480', '36.00'),
('58692', '1.00'),
('29318', '47.00'),
('35436', '34.00'),
('81493', '28.00'),
('55007', '47.00'),
('54362', '14.00'),
('89048', '27.00'),
('24508', '25.00'),
('97342', '44.00'),
('39155', '37.00'),
('45724', '27.00'),
('10765', '19.00'),
('89757', '18.00'),
('34495', '8.00'),
('90166', '43.00'),
('78974', '21.00'),
('74694', '37.00'),
('34170', '17.00'),
('79055', '5.00'),
('77094', '1.00'),
('97001', '48.00'),
('64647', '34.00'),
('56656', '15.00'),
('73678', '19.00'),
('40570', '32.00'),
('59748', '44.00'),
('58576', '38.00'),
('14853', '15.00'),
('67901', '30.00'),
('72821', '42.00'),
('69183', '7.00'),
('69378', '4.00'),
('23849', '36.00'),
('67326', '22.00'),
('19076', '14.00'),
('31449', '44.00'),
('65517', '25.00'),
('33089', '36.00'),
('52255', '25.00'),
('52616', '10.00'),
('52372', '49.00'),
('87169', '35.00'),
('17625', '1.00'),
('64764', '19.00'),
('52216', '33.00'),
('49791', '48.00'),
('80432', '26.00'),
('18366', '48.00'),
('91065', '14.00'),
('45445', '42.00'),
('66344', '39.00'),
('80666', '47.00'),
('35943', '23.00'),
('75723', '29.00'),
('64295', '39.00'),
('81002', '46.00'),
('58280', '3.00'),
('51571', '2.00'),
('47163', '27.00'),
('14993', '38.00'),
('99126', '4.00'),
('41312', '36.00'),
('64924', '48.00'),
('94922', '20.00'),
('53768', '11.00'),
('51897', '30.00'),
('41964', '16.00'),
('37619', '20.00'),
('59541', '5.00'),
('63451', '23.00'),
('65670', '35.00'),
('89099', '46.00'),
('53206', '14.00'),
('12382', '34.00'),
('93729', '1.00'),
('90735', '3.00'),
('52660', '33.00'),
('69384', '48.00'),
('21687', '24.00'),
('40155', '25.00'),
('48387', '5.00'),
('14619', '10.00'),
('68379', '18.00'),
('58429', '26.00'),
('42995', '11.00'),
('43224', '28.00'),
('25854', '3.00'),
('78783', '34.00'),
('68132', '10.00'),
('64485', '20.00'),
('28228', '32.00'),
('23014', '26.00'),
('58620', '23.00'),
('67456', '17.00'),
('76604', '49.00'),
('85342', '39.00'),
('55808', '15.00'),
('94957', '39.00'),
('71875', '29.00'),
('94438', '45.00'),
('29224', '48.00'),
('19175', '30.00'),
('29265', '27.00'),
('79683', '43.00'),
('13750', '14.00'),
('71127', '22.00'),
('76287', '6.00'),
('90681', '26.00'),
('19442', '44.00'),
('22324', '2.00'),
('77210', '48.00'),
('50437', '48.00'),
('25233', '39.00'),
('15360', '18.00'),
('91494', '42.00'),
('30567', '13.00'),
('68887', '16.00'),
('65521', '25.00'),
('71708', '44.00'),
('54793', '23.00'),
('46918', '30.00'),
('77852', '19.00'),
('80096', '35.00'),
('17155', '31.00'),
('56736', '34.00'),
('14480', '22.00'),
('81015', '30.00'),
('64863', '15.00'),
('27744', '25.00'),
('73215', '41.00'),
('68288', '13.00'),
('80838', '24.00'),
('41035', '46.00'),
('26531', '18.00'),
('38763', '5.00'),
('41212', '36.00'),
('46131', '23.00'),
('93812', '25.00'),
('11377', '18.00'),
('93270', '15.00'),
('76036', '20.00'),
('90605', '37.00'),
('53177', '21.00'),
('81423', '26.00'),
('76124', '29.00'),
('60340', '20.00'),
('91543', '5.00'),
('26648', '24.00'),
('92891', '2.00'),
('92912', '7.00'),
('63222', '45.00'),
('82782', '8.00'),
('31523', '17.00'),
('68689', '15.00'),
('85379', '15.00'),
('50261', '8.00'),
('20841', '29.00'),
('43768', '16.00'),
('93371', '15.00'),
('17818', '27.00'),
('80383', '26.00'),
('36560', '49.00'),
('17950', '4.00'),
('57442', '35.00'),
('69233', '9.00'),
('71149', '33.00'),
('38366', '42.00'),
('43123', '47.00'),
('95198', '49.00'),
('62051', '12.00'),
('64662', '47.00'),
('19335', '28.00'),
('38093', '41.00'),
('76122', '30.00'),
('46188', '14.00'),
('44838', '21.00'),
('82536', '10.00'),
('55113', '38.00'),
('53904', '31.00'),
('57708', '32.00'),
('28130', '14.00'),
('43489', '24.00'),
('72147', '45.00'),
('47982', '4.00'),
('74172', '19.00'),
('44950', '23.00'),
('94097', '34.00'),
('80900', '47.00'),
('68205', '29.00'),
('63291', '32.00'),
('30153', '22.00'),
('53549', '28.00'),
('67607', '18.00'),
('91272', '7.00'),
('78926', '48.00'),
('69458', '3.00'),
('65175', '7.00'),
('19161', '12.00'),
('38440', '33.00'),
('58193', '33.00'),
('26637', '39.00'),
('92259', '25.00'),
('53464', '5.00'),
('96683', '24.00'),
('87819', '14.00'),
('52731', '34.00'),
('77995', '25.00'),
('67788', '43.00'),
('85364', '46.00'),
('55445', '16.00'),
('59909', '16.00'),
('47335', '12.00'),
('31287', '39.00'),
('78823', '43.00'),
('51042', '20.00'),
('32907', '6.00'),
('65110', '31.00'),
('69358', '5.00'),
('63958', '14.00'),
('38804', '4.00'),
('59489', '23.00'),
('37581', '35.00'),
('25289', '44.00'),
('64145', '44.00'),
('26592', '1.00'),
('30536', '22.00'),
('91962', '14.00'),
('87595', '28.00'),
('58855', '39.00'),
('92377', '8.00'),
('44537', '34.00'),
('18804', '33.00'),
('66502', '17.00'),
('86683', '20.00'),
('55048', '25.00'),
('43584', '24.00'),
('73053', '14.00'),
('75418', '22.00'),
('17618', '12.00'),
('70871', '32.00'),
('45775', '42.00'),
('85023', '15.00'),
('75734', '27.00'),
('26700', '2.00'),
('32432', '43.00'),
('85685', '39.00'),
('70201', '34.00'),
('83157', '40.00'),
('84247', '21.00'),
('87377', '36.00'),
('23374', '29.00'),
('70288', '38.00'),
('62358', '30.00'),
('44051', '46.00'),
('39270', '39.00'),
('38084', '13.00'),
('18832', '21.00'),
('43539', '39.00'),
('42296', '44.00'),
('88248', '21.00'),
('78327', '47.00'),
('33367', '21.00'),
('84214', '34.00'),
('32670', '33.00'),
('31857', '6.00'),
('62839', '5.00'),
('13237', '38.00'),
('50349', '25.00'),
('38885', '30.00'),
('26623', '26.00'),
('29294', '25.00'),
('55373', '10.00'),
('26196', '2.00'),
('36708', '18.00'),
('56351', '44.00'),
('24645', '49.00'),
('64455', '31.00'),
('54925', '17.00'),
('22750', '8.00'),
('48237', '41.00'),
('51211', '45.00'),
('48046', '11.00'),
('53830', '8.00'),
('48165', '24.00'),
('86610', '26.00'),
('84062', '28.00'),
('25326', '33.00'),
('27147', '14.00'),
('89512', '6.00'),
('49618', '44.00'),
('74981', '25.00'),
('21621', '29.00'),
('80028', '26.00'),
('52400', '36.00'),
('50017', '4.00'),
('63762', '10.00'),
('67463', '24.00'),
('52541', '36.00'),
('93741', '6.00'),
('62112', '32.00'),
('45700', '1.00'),
('25119', '12.00'),
('85095', '1.00'),
('38457', '19.00'),
('25629', '1.00'),
('22386', '14.00'),
('15653', '9.00'),
('42760', '31.00'),
('24663', '34.00'),
('71857', '25.00'),
('76705', '31.00'),
('62507', '22.00'),
('37531', '24.00'),
('89863', '7.00'),
('43574', '38.00'),
('66294', '30.00'),
('19744', '10.00'),
('68254', '24.00'),
('29718', '10.00'),
('72788', '3.00'),
('29364', '50.00'),
('98736', '31.00'),
('90442', '39.00'),
('93604', '29.00'),
('14800', '32.00'),
('73994', '22.00'),
('67650', '5.00'),
('69304', '2.00'),
('76826', '19.00'),
('95092', '31.00'),
('95612', '1.00'),
('44439', '11.00'),
('26155', '18.00'),
('63498', '37.00'),
('76237', '11.00'),
('91707', '11.00'),
('67789', '43.00'),
('23592', '16.00'),
('48966', '23.00'),
('10283', '19.00'),
('51965', '28.00'),
('87667', '28.00'),
('80738', '46.00'),
('29666', '13.00'),
('18703', '33.00'),
('46660', '46.00'),
('54602', '20.00'),
('26567', '38.00'),
('88661', '49.00'),
('41603', '13.00'),
('65421', '27.00'),
('48638', '50.00'),
('56469', '43.00'),
('15671', '50.00'),
('40319', '34.00'),
('52100', '4.00'),
('54387', '35.00'),
('64782', '29.00'),
('85343', '45.00'),
('22057', '6.00'),
('27463', '19.00'),
('72960', '10.00'),
('74119', '39.00'),
('22133', '41.00'),
('36564', '4.00'),
('94390', '6.00'),
('62788', '42.00'),
('69183', '40.00'),
('53356', '8.00'),
('58110', '47.00'),
('21746', '47.00'),
('43944', '50.00'),
('67685', '19.00'),
('92735', '20.00'),
('65483', '31.00'),
('80025', '29.00'),
('81683', '1.00'),
('85052', '11.00'),
  ('14783', '23.00'),
('56534', '7.00'),
('98455', '20.00'),
('10232', '31.00'),
('76416', '12.00'),
('34443', '11.00'),
('30314', '37.00'),
('29210', '35.00'),
('25403', '34.00'),
('73133', '30.00'),
('75483', '36.00'),
('14483', '33.00'),
('94267', '28.00'),
('66918', '39.00'),
('59484', '24.00'),
('96323', '16.00'),
('88090', '31.00'),
('69132', '28.00'),
('65802', '33.00'),
('39840', '21.00'),
('19128', '1.00'),
('17951', '21.00'),
('42155', '9.00'),
('27940', '11.00'),
('62593', '40.00'),
('73225', '43.00'),
('85241', '28.00'),
('12059', '35.00'),
('81276', '23.00'),
('52457', '44.00'),
('24769', '17.00'),
('38148', '37.00'),
('57591', '4.00'),
('82514', '46.00'),
('15649', '8.00'),
('21837', '27.00'),
('62824', '16.00'),
('77144', '2.00'),
('49000', '20.00'),
('65312', '44.00'),
('86145', '28.00'),
('26437', '21.00'),
('65064', '12.00'),
('43792', '21.00'),
('29987', '14.00'),
('47313', '50.00'),
('89657', '48.00'),
('15308', '13.00'),
('31687', '17.00'),
('51869', '3.00'),
('66081', '17.00'),
('57868', '6.00'),
('74365', '5.00'),
('13735', '20.00'),
('29671', '3.00'),
('52609', '28.00'),
('78065', '5.00'),
('14546', '50.00'),
('53035', '16.00'),
('58056', '12.00'),
('61901', '35.00'),
('55411', '36.00'),
('82794', '31.00'),
('90162', '1.00'),
('78433', '43.00'),
('54942', '25.00'),
('55121', '15.00'),
('73680', '21.00'),
('50634', '22.00'),
('37580', '28.00'),
('49407', '22.00'),
('30306', '19.00'),
('66039', '30.00'),
('75099', '21.00'),
('92835', '25.00'),
('21661', '12.00'),
('24542', '5.00'),
('33142', '44.00'),
('72974', '2.00'),
('35011', '3.00'),
('94673', '1.00'),
('22691', '18.00'),
('12981', '17.00'),
('55309', '43.00'),
('83584', '12.00'),
('40379', '40.00'),
('46250', '41.00'),
('11246', '19.00'),
('70763', '21.00'),
('30835', '40.00'),
('87051', '24.00'),
('68450', '44.00'),
('12231', '44.00'),
('83298', '28.00'),
('71687', '31.00'),
('56663', '3.00'),
('46410', '3.00'),
('12960', '41.00'),
('47043', '34.00'),
('14817', '30.00'),
('90050', '4.00'),
('43616', '18.00'),
('85726', '50.00'),
('60060', '32.00'),
('10809', '29.00'),
('16620', '18.00'),
('43093', '17.00'),
('63274', '27.00'),
('60326', '12.00'),
('73459', '50.00'),
('81727', '8.00'),
('52961', '10.00'),
('73103', '24.00'),
('57311', '46.00'),
('22401', '43.00'),
('94350', '50.00'),
('71026', '4.00'),
('75252', '41.00'),
('53358', '18.00'),
('79067', '30.00'),
('61469', '43.00'),
('81648', '24.00'),
('45237', '36.00'),
('86007', '9.00'),
('75749', '25.00'),
('52887', '20.00'),
('22316', '33.00'),
('18227', '19.00'),
('47492', '14.00'),
('27759', '30.00'),
('58724', '1.00'),
('63287', '6.00'),
('84963', '15.00'),
('38013', '28.00'),
('49369', '20.00'),
('16026', '31.00'),
('59537', '40.00'),
('83357', '43.00'),
('72037', '10.00'),
('91797', '50.00'),
('14063', '12.00'),
('68941', '30.00'),
('54949', '5.00'),
('70148', '28.00'),
('72064', '21.00'),
('87481', '8.00'),
('81221', '17.00'),
('24960', '4.00'),
('70273', '26.00'),
('77295', '25.00'),
('60413', '11.00'),
('64402', '17.00'),
('39233', '25.00'),
('73417', '35.00'),
('79567', '34.00'),
('50385', '35.00'),
('47517', '6.00'),
('65912', '44.00'),
('67495', '1.00'),
('58706', '23.00'),
('52466', '19.00'),
('75529', '35.00'),
('88990', '50.00'),
('31892', '23.00'),
('89172', '8.00'),
('74802', '6.00'),
('46357', '10.00'),
('32550', '32.00'),
('96463', '35.00'),
('17245', '16.00'),
('28368', '30.00'),
('82697', '43.00'),
('79821', '26.00'),
('52452', '11.00'),
('16595', '35.00'),
('37508', '11.00'),
('85968', '29.00'),
('28164', '30.00'),
('88304', '28.00'),
('10070', '49.00'),
('16161', '32.00'),
('36194', '42.00'),
('28669', '1.00'),
('51480', '36.00'),
('59384', '45.00'),
('21251', '40.00'),
('23634', '44.00'),
('84305', '13.00'),
('57346', '5.00'),
('87602', '25.00'),
('40098', '15.00'),
('62067', '17.00'),
('89500', '21.00'),
('72690', '1.00'),
('31086', '12.00'),
('48809', '19.00'),
('11832', '41.00'),
('45926', '31.00'),
('19747', '9.00'),
('72940', '39.00'),
('71020', '42.00'),
('22766', '18.00'),
('38089', '50.00'),
('92403', '8.00'),
('61888', '19.00'),
('77495', '44.00'),
('18557', '17.00'),
('98034', '34.00'),
('43024', '41.00'),
('36981', '41.00'),
('13815', '2.00'),
('56772', '42.00'),
('52832', '22.00'),
('20246', '48.00'),
('91500', '40.00'),
('11272', '4.00'),
('85502', '44.00'),
('36237', '7.00'),
('49372', '22.00'),
('46957', '4.00'),
('71502', '11.00'),
('26946', '8.00'),
('75012', '35.00'),
('82073', '30.00'),
('55473', '17.00'),
('35641', '34.00'),
('40307', '9.00'),
('31834', '37.00'),
('34155', '35.00'),
('82430', '23.00'),
('15209', '8.00'),
('53538', '24.00'),
('63610', '44.00'),
('25430', '43.00'),
('44381', '31.00'),
('85598', '39.00'),
('28366', '17.00'),
('96647', '24.00'),
('72915', '49.00'),
('47860', '40.00'),
('37934', '2.00'),
('27317', '23.00'),
('30973', '13.00'),
('79252', '33.00'),
('69517', '16.00'),
('84793', '6.00'),
('58394', '26.00'),
('55656', '32.00'),
('49406', '1.00'),
('54759', '2.00'),
('78300', '35.00'),
('95160', '22.00'),
('89250', '5.00'),
('26218', '7.00'),
('80877', '35.00'),
('95651', '5.00'),
('12754', '36.00'),
('73365', '13.00'),
('88090', '20.00'),
('22425', '30.00'),
('13144', '11.00'),
('88604', '13.00'),
('44030', '14.00'),
('15125', '12.00'),
